track,model,strength_mean,strength_sd,hdi_low,hdi_high,rank,win_prob_vs_field,win_prob_hdi_low,win_prob_hdi_high
soundness,claude-fable-5,2.0359116285095045,0.39223729895822074,1.3182060617270484,2.7565794777892503,1,0.8593442858508306,0.7934634549025584,0.9247003995908368
soundness,gpt-5.5,1.12681405839177,0.2574468208114248,0.6654530886184229,1.6188269287831067,2,0.7184583155295603,0.6538251217679927,0.7827536894888305
soundness,gpt-5.5-pro,0.9946306230781022,0.23166216438057624,0.5765689066133329,1.4331655776898369,3,0.6944982905180682,0.6322254039937945,0.7550064846014544
soundness,claude-opus-4-8,0.860636548432617,0.2122178320984543,0.4642609163401704,1.2496617896355127,4,0.6694838408678272,0.6092798678520375,0.7278555996231334
soundness,claude-sonnet-4-6,0.6930656773443457,0.1929639951367064,0.34996885841199143,1.0641243554312239,5,0.6373862971573939,0.5766826322840521,0.6932850583934571
soundness,gemini-3.1-pro-preview,0.670267569877231,0.19898583391540167,0.3007598826251677,1.034833497732439,6,0.6328855782102749,0.5712429661388242,0.6919284918918593
soundness,gemini-3.5-flash,-0.2783426543979587,0.1606227448118195,-0.5830009436288786,0.020128244176136956,7,0.44353815014651254,0.3891686123174702,0.5005755877850357
soundness,gpt-5.4-mini,-0.4553399855883326,0.17915081623612178,-0.7994509130607568,-0.13155011203483055,8,0.408580386826573,0.3516921744534139,0.46990246393005647
soundness,deepseek-v4-flash,-1.2499000155744773,0.2736917083404082,-1.7810986653120253,-0.7667885205399712,9,0.2609808819802678,0.19901886937904154,0.327270240611604
soundness,deepseek-v4-pro,-1.3751346012505634,0.28812057834220506,-1.9523713247431278,-0.8775520324095868,10,0.239713841300104,0.17588551306305278,0.30574255182395066
soundness,claude-haiku-4-5-20251001,-1.454078237631409,0.3041424375927127,-2.0314237608808297,-0.9159015878698663,11,0.2267737980825794,0.162023352834985,0.29409528455355666
soundness,gemini-3.1-flash-lite,-1.5685306111908295,0.3134056441096165,-2.144394246553928,-0.992518755412795,12,0.2083563335299983,0.14593607394019406,0.2731453899973055
priors,claude-fable-5,1.5972596459368718,0.32135322249026266,1.0064783214985418,2.2086734854630157,1,0.8000396790809275,0.7390798064090686,0.8684829344162753
priors,gpt-5.5,1.4195692018781567,0.2819686246971678,0.8866302967840487,1.938746979301668,2,0.7715630953347928,0.7119784456061292,0.8311690648994599
priors,gpt-5.5-pro,1.3104258871808832,0.26427750201972994,0.8302026835126838,1.808889091357737,3,0.7531096918644496,0.6960661672619269,0.8121039316672479
priors,claude-opus-4-8,0.8387744560199675,0.19707907561895496,0.47285676565702217,1.202284532984018,4,0.6671742595717284,0.6127350030503419,0.7178627150913073
priors,gpt-5.4-mini,0.5349119142393877,0.16215467691723945,0.24174691846553592,0.842400598388173,5,0.607853856534703,0.5568302482430807,0.6559072808954173
priors,gemini-3.1-pro-preview,0.4670838999453638,0.15606600221849973,0.17258333465053613,0.7568775584922781,6,0.5943593143395217,0.5465358291259402,0.644682134161809
priors,gemini-3.5-flash,-0.16240209502234,0.16107672400516243,-0.4876071718238622,0.12239456217231542,7,0.4669170973504317,0.4092123639388623,0.524187448560714
priors,gemini-3.1-flash-lite,-0.875817650545243,0.20159293300136497,-1.2466035829428816,-0.4906594542157523,8,0.32585162166628184,0.2739853584475115,0.37910675333377597
priors,claude-haiku-4-5-20251001,-0.9337849509245136,0.203132696869456,-1.3079513202970579,-0.5524076997640541,9,0.3148624429499251,0.2652099080418489,0.36588152133905877
priors,deepseek-v4-pro,-1.1756758763808253,0.23831570796397658,-1.6286958602877863,-0.7452544138624327,10,0.2705818745255581,0.21835486618135638,0.3252874343737366
priors,deepseek-v4-flash,-1.4818363101708947,0.29559996395265126,-2.0474635424087637,-0.9405512594045329,11,0.21841204883059842,0.15976767547008575,0.28037317198730466
priors,claude-sonnet-4-6,-1.5385081221568082,0.30518695143217245,-2.109304968451118,-0.9840650097087493,12,0.20927501795107906,0.14872768907757727,0.2728664194574082
overall,claude-fable-5,2.1922863573941003,0.41147530408654437,1.4272638999860026,2.9906453038812293,1,0.8748271733082149,0.8133056906826035,0.9339268407130081
overall,gpt-5.5,1.4074495485797172,0.2824540980108295,0.892305777619226,1.9456619030783322,2,0.7657032972668857,0.7063296349389301,0.8241664732161671
overall,gpt-5.5-pro,1.205217513247704,0.2515732983034598,0.7433901291783636,1.6727837351981334,3,0.7323276104509884,0.6732602125855378,0.7863019566418221
overall,claude-opus-4-8,0.8718377863055695,0.20198640123465075,0.5117869346176187,1.263366710671352,4,0.6735087042775932,0.6211682051743446,0.7280241431266771
